id,ประเภทร้าน,ชื่อสาขา,ที่อยู่,เบอร์โทร,ค่าเช่า,GP(%),เบอร์โทร Kiosk SIM,SIM Code,วันหมดอายุ,สถานะ
f58279e1-747f-44fc-bd58-4816f50a07e2,WY,01 Lotus RM1,,,,,,,,ปิด
44f87203-8e03-491b-8a31-06059257a860,WY,02 CPN EVL FL.2,,,2675,,,,,เปิด
0e88bea8-a7f7-426c-bbf3-3e1c11dcdc11,WY,03 WY Lotus Fortune,,,2247,,,,,เปิด
ceaad0d8-daaf-4594-98c0-cf3445706fd6,WY,04 CPN BNN FL.5 - Coco,,,,,,,,ปิด
0981f1cc-a0e8-403b-bd79-bd7e79d1bd80,WY,05 TML BNK FL.3 COCO,,,4066.67,,,,,เปิด
413968b1-d273-4a7a-96b6-87ed3884ff8a,WY,06 CPN RM3 - Mangkhut,,,3905.5,,,,,เปิด
8a1f35b3-aeb5-4290-848d-5e45b73d9ef8,WY,07 SCN SRI FL.2 - Mangkhut,,,,,,,,ปิด
66c67cf1-46e9-45e6-91ac-d433570714ef,WY,08 TML BNK FL.3,,,,,,,,ปิด
88b25dac-9346-46b3-baa7-a44715637c5b,WY,09 CPN SLY FL.3 Mochiru,,,6165.88,,,,,เปิด
f031535a-d9af-4b30-9bbc-d57e5c00e8d8,WY,10 TML BNK FL.3 - Two 9:00,,,4066.67,,,,,เปิด
b6c78fe6-69d3-4e72-b3b4-a9e0bb0846e1,B2S,100 B2S RBS Samutpakarn,บริษัท บีทูเอส จำกัด (สาขาโรบินสันสมุทรปราการ)	789 หมู่ที่ 2 อาคารห้างสรรพสินค้าโรบินสันสมุทรปราการ ชั้น 2 ตำบลท้ายบ้านใหม่ อำเภอเมืองสมุทรปราการ จังหวัดสมุทรปราการ 10280,พลอย 099-183-7070,,35,,,,เปิด
97021ce4-9735-437a-a461-bdc934d3e6fc,B2S,101 B2S RBS Ladkabang,บริษัท บีทูเอส จำกัด ( สาขาโรบินสันลาดกระบัง )	เลขที่ 308/1 ถนนลาดกระบัง แขวงลาดกระบัง เขตลาดกระบัง จังหวัดกรุงเทพมหานคร 10520,สุ 089-810-1528,,35,,,,เปิด
16b551c6-6ccb-41bb-aa0a-0c2f908ae3e9,B2S,102 B2S CPN RM3,"บริษัท บีทูเอส จำกัด (สาขาพระราม 3 )	79 อาคารศูนย์การค้าเซ็นทรัลพลาซาพระราม 3 ห้องเลขที่ 612/1, 612/2, 612/3 ชั้น 6 ถนนสาธุประดิษฐ์ แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร 10120",ตุ๊ก 063-658-9145,,35,,,,เปิด
80ed20e4-422b-4880-8f84-ceac595e97e7,B2S,103 B2S RBS BangRak,บริษัท บีทูเอส จำกัด (สาขาบางรัก)	1522 อาคารห้างเซ็นทรัลบางรัก ชั้น 3 ถนนเจริญกรุง แขวงบางรัก เขตบางรัก กรุงเทพฯ 10500,ยุทธ 089-9256803,,35,,,,เปิด
5a2bab43-1aa5-4405-bd20-acb1cedb9d7e,B2S,104 B2S Changwattana,บริษัท บีทูเอส จำกัด (สาขาเซ็นทรัลแจ้งวัฒนะ)	99/99 ชั้น 5 หมู่ที่ 2 ตำบลบางตลาด อำเภอปากเกร็ด จังหวัดนนทบุรี 11120,โจ้ 099-156-1635,,35,,,,เปิด
146a0030-1510-456a-a184-0a08c7cfe883,B2S,105 B2S Promenade,บริษัท บีทูเอส จำกัด (เดอะพรอมานาด)	เลขที่ 589/7-9 ถ.รามอินทรา แขวงคันนายาว เขตคันนายาว กรุงเทพฯ 10231,เอ๋ 094-249-2823,,35,,,,เปิด
0563c985-5791-4d7b-9c11-2968f3f43c8c,B2S,106 B2S RM9 F.B,บริษัท บีทูเอส จำกัด (สาขาซีพีเอ็น พระราม 9 B)	9/9 ศูนย์การค้าเซ็นทรัลพลาซ่าพระราม 9 ห้อง B22 ชั้น B ถนนพระราม 9 แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310,บัง 095-494-3299,,35,,,,เปิด
c8c0b69a-9c5d-4660-930e-400306f46516,B2S,107 B2S SCN Bangkhea,บริษัท บีทูเอส จำกัด (สาขาซีคอนบางแค)	เลขที่ 607 ถนนเพชรเกษม แขวงบางหว้า เขตภาษีเจริญ จังหวัดกรุงเทพมหานคร 10160,ติ๊ก 091-874-7942,,35,,,,เปิด
d2b85c7c-d73c-402e-b21b-afa741868139,B2S,108 B2S CPN Pinklao,บริษัท บีทูเอส จำกัด (สาขาปิ่นเกล้า)	7 / 1 อาคารห้างเซ็นทรัลปิ่นเกล้า ชั้น 5 ถนนบรมราชชนนี แขวงอรุณอมรินทร์ เขตบางกอกน้อย กรุงเทพมหานคร 10700,ปอนด์ 065-396-1935,,35,,,,เปิด
fff3db41-6120-4b27-80b8-60000e788203,B2S,109 B2S CPN Mahachai,บริษัท บีทูเอส จำกัด (สาขาซีพีเอ็น มหาชัย)	98 ห้องเลขที่ 228 ชั้นที่ 2 หมู่ที่ 4 อาคารศูนย์การค้าเซ็นทรัลพลาซามหาชัย ตำบลนาดี อำเภอเมืองสมุทรสาคร จังหวัดสมุทรสาคร 74000,ตุ๊ก 082-782-3789,,35,,,,เปิด
1cdf50b5-b03c-464d-a8f1-f7c8dd624270,WY,11 Lotus Sukhapiban1,,,2247,,,,,เปิด
e27deb24-1ebf-476c-8691-56d19321a9b0,MOSHI,110 MS CPN Westgate,"Moshi Central westgate	
199/3 หมู่ที่ 6 ตำบล เสาธงหิน อำเภอบางใหญ่ นนทบุรี 11000 (ชั้น 2 โซนลิฟท์แก้ว)",อัญญฏา 0654042449,,60,,,,เปิด
604b46b4-4e06-43a2-838b-53f0b42eb45b,MOSHI,111 MS Central Si Racha,Moshi Central ศรีราชา	8 ถ. สุขุมวิท ตำบล ศรีราชา อำเภอศรีราชา ชลบุรี 20110 (ชั้น 1 โซนพลาซา),อรภา 0642384538,,60,,,,เปิด
a0f62034-5d71-4f41-83b6-38eea1654481,MOSHI,112 MS Market Village HuaHin,"Moshi Market Village หัวหิน	""มาร์เก็ตวิลเลจหัวหิน (ร้านโมชิ โมชิ ชั้นใต้ดิน)
234/1 ถ.เพชรเกษม ต.หัวหิน อ.หัวหิน จ.ประจวบฯ 77110 (ชั้นใต้ดิน)""",แพร 0638053253,,60,,,,เปิด
1ea032f6-ddce-4383-9cee-8090d59be27e,MOSHI,113 MS CPN NakhonSri,"Moshi Central นครศรีธรรมราช	Nasan 8,9/8 อำเภอ พระพรหม นครศรีธรรมราช 80000 (ชั้น 2 โซนพลาซา)",ณฐมน 0954858985,,60,,,,เปิด
55872a0c-5000-4bdd-9d3a-9ffcb60daf3d,MOSHI,114 MS CPN Chiang Mai,Moshi Central Festival เชียงใหม่	99 99/1 -99/2 หมู่ที่ 4 ถ. ซุปเปอร์ไฮเวย์ เชียงใหม่-ลำปาง ตำบล ฟ้าฮ่าม อำเภอเมืองเชียงใหม่ เชียงใหม่ 50000 (ชั้น 4 โซนพลาซา),เนตรนภา 0632074415,,60,,,,เปิด
1ca78371-0308-43b7-9bc1-839c474fbb9d,MOSHI,115 MS CPN Udon Thani,Moshi Central อุดรธานี	277/1-3 271/5 ถ. ประจักษ์ ศิลปาคม ตำบลหมากแข้ง อำเภอเมืองอุดรธานี อุดรธานี 41000 (ชั้น 3 ฝั่งตึก A),เพ็ญศิริ 0957736212,,60,,,,เปิด
a143e8f6-5318-411e-8534-9f70d9ce9b2d,MOSHI,116 MS CPN Chiang Rai,Moshi Central เชียงราย	99/9 ถ. พหลโยธิน ตำบล รอบเวียง อำเภอเมืองเชียงราย เชียงราย 57000 (ชั้นG โซนพลาซ่า),รัตติกาล 0864806383,,60,,,,เปิด
277ae718-326f-4260-b63d-707a7734aa67,MOSHI,117 MS CPN Hatyai,Moshi Central Festival หาดใหญ่	1518 ถ. กาญจนวนิช ตำบล คอหงส์ อำเภอหาดใหญ่ สงขลา 90110 (ชั้น 4 โซนพลาซา),อภิฤดี 0657162348,,60,,,,เปิด
f653c659-f1ea-4e0e-9f19-37929c89a432,MOSHI,118 MS CPN Rayong,Moshi Central ระยอง	99 99/1 ถ. ชายกระป่อม ตำบลเชิงเนิน อำเภอเมืองระยอง ระยอง 21000 (ชั้น 3 โซน Restaurant),กนกวรรณ 0654606488,,60,,,,เปิด
02c66cad-c915-4700-af27-1af2f961f715,MOSHI,119 MS CPN Nakhon Sawan,"Moshi Central นครสวรรค์	699, ถ. พหลโยธิน ตำบลปากน้ำโพ อำเภอเมืองนครสวรรค์ นครสวรรค์ 60000 (ชั้น 1)",บุญยนุช 0938361590,,60,,,,เปิด
7cef6360-0fd0-41b2-a8e0-02331c2192dd,WY,12 CPN WES FL.1 - MangKhut,,,7276,,,,,เปิด
8f488bcc-9ba5-49c7-8b40-a2ab74671415,MOSHI,120 MS CPN Surat Thani,"Moshi Central สุราษฎ์ธานี	88, ตำบล วัดประดู่ อำเภอเมืองสุราษฎร์ธานี สุราษฎร์ธานี 84000 (ชั้น 3)",ปิญชพร 0802591990,,60,,,,เปิด
b7dcb1fc-32e7-47ab-87a0-12edd0723d85,MOSHI,121 MS TonTarn Market Khon Kaen,Moshi ตลาดต้นตาลขอนแก่น	381/58 หมู่ที่ 17 ถ.มิตรภาพ ตำบลในเมือง อำเภอเมืองขอนแก่น ขอนแก่น 40000 (),วิลาวัลย์ 0655190788,,60,,,,เปิด
7ad4cf6a-e31c-4477-83a5-0e7bd0583893,MOSHI,122 MS RBS Kanchanaburi,Moshi Robinson กาญจนบุรี	110 ถ. เลี่ยงเมืองกาญจนบุรี ตำบล ปากแพรก อำเภอเมืองกาญจนบุรี กาญจนบุรี 71000 (ชั้น 2 โซนใหม่),บุณยานุช 0930068097,,60,,,,เปิด
03f25e69-3601-4b29-806b-9631cf28f1b2,MOSHI,123 MS RBS Chavhoengsao,Moshi Robinson ฉะเชิงเทรา	910 หมู่ที่ 4 ถ. ฉะเชิงเทรา - บางปะกง ตำบล หน้าเมือง อำเภอเมืองฉะเชิงเทรา ฉะเชิงเทรา 24000 (ชั้น 2 โซนอาคารเปิดใหม่),พรนภา 0631614740,,60,,,,เปิด
11de313e-bdea-4301-ac79-d78a5a34b891,MOSHI,124 MS RBS Trang,Moshi Robinson ตรัง	138 ถนน พัทลุง ตำบล ทับเที่ยง อำเภอเมืองตรัง ตรัง 92000 (ชั้น 1 โซนตึกใหม่),มณีรัตน์ 0645873293,,60,,,,เปิด
4fe0a839-0d59-4bc2-93ed-9e49b27e6a12,MOSHI,125 MS RBS Prachinburi,Moshi Robinson ปราจีนบุรี	72 ตำบลบางบริบูรณ์ อำเภอเมืองปราจีนบุรี ปราจีนบุรี 25000 (ชั้น 1 หน้าTops Market),กรกช 0996092151,,60,,,,เปิด
